IncidentId,CreateDate,IcmType,Severity,Status,ChildCount,OwningTeamName,OwningContactAlias,Title,AcknowledgeTeamId,AcknowledgeTeamName,TenantName,AcknowledgeDateInDate,AcknowledgeDate,AcknowledgeContactAlias,IcmLink,AckType
706510963,2025-11-04 07:29:59.467000+00:00,LiveSite,2,MITIGATED,0,CLOUDNET\RNM,v-srisko,[PublisherErrors] PublisherErrorsResource [MadariFaultException_Prod_EuropeWest] is unhealthy.,10661,RNM,Cloudnet,2025-11-04,2025-11-04 07:34:40.190000+00:00,v-srisko,https://portal.microsofticm.com/imp/v5/incidents/details/706510963/summary,Incident Transferred
706314369,2025-11-03 19:59:06.663000+00:00,LiveSite,3,ACTIVE,0,CLOUDNET\NRP,,CrashLoopBackOff in some clusters,10549,NRP,Cloudnet,2025-11-04,2025-11-04 17:01:56.147000+00:00,sravanan,https://portal.microsofticm.com/imp/v5/incidents/details/706314369/summary,Incident Transferred
706738103,2025-11-04 17:39:31.823000+00:00,CRI,3,RESOLVED,0,COMPUTEMANAGER\Blackbird,icanbolat,[Azure Government] Unable to Start/stop VM || NetworkingInternalOperationError || 2511040040007462,10661,RNM,Cloudnet,2025-11-04,2025-11-04 17:59:54.657000+00:00,ambhatta,https://portal.microsofticm.com/imp/v5/incidents/details/706738103/summary,Incident Transferred
703738382,2025-10-28 18:39:51.270000+00:00,LiveSite,2,RESOLVED,0,CLOUDNET\NRP,sravanan,Unable to delete NRP resource as it is linked to VMSS resource that does not exist - Chile Central,10549,NRP,Cloudnet,2025-11-04,2025-11-04 20:13:52.557000+00:00,sravanan,https://portal.microsofticm.com/imp/v5/incidents/details/703738382/summary,Incident Transferred
703738382,2025-10-28 18:39:51.270000+00:00,LiveSite,2,RESOLVED,0,CLOUDNET\NRP,sravanan,Unable to delete NRP resource as it is linked to VMSS resource that does not exist - Chile Central,10661,RNM,Cloudnet,2025-11-04,2025-11-04 20:18:36.183000+00:00,ambhatta,https://portal.microsofticm.com/imp/v5/incidents/details/703738382/summary,Incident Transferred
703738382,2025-10-28 18:39:51.270000+00:00,LiveSite,2,RESOLVED,0,CLOUDNET\NRP,sravanan,Unable to delete NRP resource as it is linked to VMSS resource that does not exist - Chile Central,10549,NRP,Cloudnet,2025-11-04,2025-11-04 20:25:27.147000+00:00,sravanan,https://portal.microsofticm.com/imp/v5/incidents/details/703738382/summary,Incident Transferred
684950295,2025-09-14 06:54:28.403000+00:00,LiveSite,2,ACTIVE,0,CLOUDNET\NRP,sravanan,VMSS Provisioning Failure Due to NetworkingInternalOperationError in Azure ARM Deployment,10549,NRP,Cloudnet,2025-11-04,2025-11-04 20:53:54.087000+00:00,sravanan,https://portal.microsofticm.com/imp/v5/incidents/details/684950295/summary,Incident Transferred
706314369,2025-11-03 19:59:06.663000+00:00,LiveSite,3,ACTIVE,0,CLOUDNET\NRP,,CrashLoopBackOff in some clusters,68685,PrivateLink_ControlPlane,Cloudnet,2025-11-04,2025-11-04 22:22:38.410000+00:00,ambhatta,https://portal.microsofticm.com/imp/v5/incidents/details/706314369/summary,Incident Transferred
705976854,2025-11-02 21:57:17+00:00,LiveSite,3,RESOLVED,0,COMPUTEMANAGER\Blackbird,icanbolat,MWC DXTBCDR2 is failing at VMSS step with OSProvisioningTimedOut,10475,Network Manager,Cloudnet,2025-11-04,2025-11-04 22:48:38.603000+00:00,niasso,https://portal.microsofticm.com/imp/v5/incidents/details/705976854/summary,Incident Transferred
706860028,2025-11-05 00:08:38.243000+00:00,LiveSite,2,MITIGATED,0,CLOUDNET\ManagedNetworkController,,[AsgardRCore-Prod-asiaeast-R-158] Low Disk Space Alert on [HK4PPF5754438AE]  in C: Drive,60163,AzureVirtualNetworkManager,Cloudnet,2025-11-05,2025-11-05 00:13:42.733000+00:00,linlimei,https://portal.microsofticm.com/imp/v5/incidents/details/706860028/summary,Incident Transferred
